epoch,batch,loss,accuracy
1,2000,2.002775315642357,
1,4000,1.8012119645178317,
1,6000,1.7150998663902284,
1,8000,1.6932390374541282,
1,10000,1.6892432252764702,
1,12000,1.6436817900538445,
1,,,40.49
2,2000,1.632506660312414,
2,4000,1.615745040640235,
2,6000,1.5842013664245604,
2,8000,1.5991958144456149,
2,10000,1.562753151267767,
2,12000,1.5845333326756954,
2,,,42.28
3,2000,1.5608544133156539,
3,4000,1.5536436311155557,
3,6000,1.5660760313794018,
3,8000,1.5485612084567546,
3,10000,1.5394126190543174,
3,12000,1.5355265097022057,
3,,,45.48
4,2000,1.5355171166434884,
4,4000,1.5376581548154353,
4,6000,1.5179652458429336,
4,8000,1.5266899787783623,
4,10000,1.5387560189962388,
4,12000,1.514691606655717,
4,,,45.83
5,2000,1.5088601407259703,
5,4000,1.4952836171090602,
5,6000,1.535148564696312,
5,8000,1.5126859590932726,
5,10000,1.4914009224921465,
5,12000,1.4932926546931267,
5,,,46.86
6,2000,1.4917344946563245,
6,4000,1.496196655869484,
6,6000,1.5088420434445142,
6,8000,1.481822354413569,
6,10000,1.4904903238415719,
6,12000,1.4806234278678894,
6,,,47.76
7,2000,1.4863153855130076,
7,4000,1.48076082713902,
7,6000,1.4903619804531336,
7,8000,1.4861531721353531,
7,10000,1.4566595371887088,
7,12000,1.4409697690941394,
7,,,47.77
8,2000,1.4665752913951873,
8,4000,1.4851256388351322,
8,6000,1.4524519058912992,
8,8000,1.4287743594795466,
8,10000,1.449654022924602,
8,12000,1.4459497176259757,
8,,,48.23
9,2000,1.4509645084664227,
9,4000,1.4450741566792131,
9,6000,1.4601138040199877,
9,8000,1.4557339534834026,
9,10000,1.4413125872164965,
9,12000,1.4514106811583043,
9,,,49.27
10,2000,1.4488882142975927,
10,4000,1.4280625145584345,
10,6000,1.4282867742329837,
10,8000,1.4293894291222096,
10,10000,1.4473513116836547,
10,12000,1.416270503051579,
10,,,48.65
